nccl_dtype,num_gpus,message_size,kernel_source,op_name,latency
half,2,1024,NCCL,all_gather,0.0211
half,2,1024,NCCL,all_gather,0.023039999999999998
half,2,2048,NCCL,all_gather,0.02032
half,2,4096,NCCL,all_gather,0.02214
half,2,8192,NCCL,all_gather,0.02246
half,2,16384,NCCL,all_gather,0.02656
half,2,32768,NCCL,all_gather,0.02298
half,2,65536,NCCL,all_gather,0.02478
half,2,131072,NCCL,all_gather,0.027719999999999998
half,2,262144,NCCL,all_gather,0.024980000000000002
half,2,524288,NCCL,all_gather,0.028460000000000003
half,2,1048576,NCCL,all_gather,0.033420000000000005
half,2,2097152,NCCL,all_gather,0.04870000000000001
half,2,4194304,NCCL,all_gather,0.062240000000000004
half,2,8388608,NCCL,all_gather,0.07590000000000001
half,2,16777216,NCCL,all_gather,0.1093
half,2,33554432,NCCL,all_gather,0.19191999999999998
half,2,67108864,NCCL,all_gather,0.3408
half,2,134217728,NCCL,all_gather,0.6354
half,2,268435456,NCCL,all_gather,1.2062000000000002
int8,2,2048,NCCL,all_gather,0.02172
int8,2,4096,NCCL,all_gather,0.02264
int8,2,8192,NCCL,all_gather,0.021500000000000002
int8,2,16384,NCCL,all_gather,0.02186
int8,2,32768,NCCL,all_gather,0.0229
int8,2,65536,NCCL,all_gather,0.0249
int8,2,131072,NCCL,all_gather,0.024579999999999998
int8,2,262144,NCCL,all_gather,0.02504
int8,2,524288,NCCL,all_gather,0.026940000000000002
int8,2,1048576,NCCL,all_gather,0.0273
int8,2,2097152,NCCL,all_gather,0.03362
int8,2,4194304,NCCL,all_gather,0.04888000000000001
int8,2,8388608,NCCL,all_gather,0.06216
int8,2,16777216,NCCL,all_gather,0.07578
int8,2,33554432,NCCL,all_gather,0.10928
int8,2,67108864,NCCL,all_gather,0.19222
int8,2,134217728,NCCL,all_gather,0.3416
int8,2,268435456,NCCL,all_gather,0.6344
int8,2,536870912,NCCL,all_gather,1.2056
half,2,1024,NCCL,alltoall,0.06672
half,2,2048,NCCL,alltoall,0.068
half,2,4096,NCCL,alltoall,0.06354
