framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,128,1,16,1,0,0.01670933390657107
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,64,1,16,2,0,0.015775999675194424
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,1,1,16,128,0,0.014314666390419006
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,32,1,16,4,0,0.01569066693385442
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,16,1,16,8,0,0.014752000570297241
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,fp8,64,1,16,2,0,0.018458666900793713
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,8,1,16,16,0,0.01471466695268949
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,fp8,32,1,16,4,0,0.017903999735911686
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,2,1,16,64,0,0.014890667051076889
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,4,1,16,32,0,0.015018666783968607
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,fp8,16,1,16,8,0,0.017583999782800674
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,fp8,8,1,16,16,0,0.016858667135238647
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,fp8,4,1,16,32,0,0.017375999440749485
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,fp8,128,1,16,1,0,0.019253333409627277
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,fp8,2,1,16,64,0,0.016879999389251072
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,fp8,1,1,16,128,0,0.017909333109855652
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,128,1,32,1,0,0.017029333859682083
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,64,1,32,2,0,0.015754666179418564
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,16,1,32,8,0,0.014762666076421738
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,32,1,32,4,0,0.015471999843915304
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,8,1,32,16,0,0.015626666446526844
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,1,1,32,128,0,0.015226667126019796
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_context,default,float16,float16,2,1,32,64,0,0.014394666999578476
