framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,implementation
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,128,0.008343039751052857,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,256,0.008414080142974853,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,512,0.008586879968643189,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,1024,0.008768640160560608,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,2048,0.009482240080833435,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,4096,0.00917568027973175,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,8192,0.009518719911575317,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,16384,0.009872000217437744,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,32768,0.009923840165138245,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,65536,0.0095551997423172,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,131072,0.009921919703483582,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,262144,0.010743680000305175,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,524288,0.013184000253677369,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,1048576,0.01703295946121216,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,2097152,0.0230297589302063,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,4194304,0.040159997940063474,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,8388608,0.11262335777282714,trtllm
