framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,1,128,0.006028800085186958
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,1,64,0.0048640001565217975
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,1,128,0.01557759940624237
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,1,32,0.004416000097990036
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,1,64,0.01053439974784851
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,1,16,0.004102399945259095
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,1,32,0.00806720033288002
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,1,8,0.003958399966359138
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,1,16,0.008035200089216233
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,1,4,0.007292799651622772
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,1,8,0.007964800298213958
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,1,2,0.004742399975657463
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,1,1,0.003936000168323517
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,1,4,0.006563200056552887
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,2,128,0.0060479998588562015
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,1,1,0.006172800064086914
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,2,64,0.004806400090456009
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,2,128,0.01674560010433197
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,2,32,0.007280000299215317
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,1,2,0.005702399834990502
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,2,16,0.0060479998588562015
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,2,64,0.011046399921178817
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,2,8,0.005606399849057198
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,2,2,0.004783999919891357
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,2,1,0.005417599901556968
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,2,32,0.00838399976491928
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,2,1,0.008185599744319916
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,4,128,0.01653759926557541
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,2,4,0.004611200094223023
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,4,128,0.006006399914622307
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,4,64,0.004870399832725525
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,4,64,0.0115167997777462
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,4,32,0.004067200049757957
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,2,16,0.00692799985408783
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,4,8,0.005142400041222572
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,2,4,0.006195199862122536
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,2,8,0.006377600133419037
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,2,2,0.00589120015501976
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,4,16,0.004009599983692169
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,4,16,0.011193600296974183
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,4,4,0.009916800260543823
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,4,4,0.006297600269317627
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,4,2,0.005923200026154518
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,4,1,0.005638400092720985
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,4,2,0.004441599920392036
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,8,128,0.005632000043988228
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,4,32,0.00825600028038025
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,8,64,0.01112319976091385
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,8,32,0.004281599819660187
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,8,64,0.004732799902558327
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,8,8,0.00416640006005764
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,8,16,0.005702399834990502
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,4,8,0.006291200220584869
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,4,1,0.005974400043487549
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,8,128,0.01621759980916977
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,8,4,0.006351999938488007
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,8,32,0.008217599987983704
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,8,2,0.005772799998521805
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,8,16,0.00719040036201477
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,16,128,0.0058143999427556995
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,8,1,0.004185599833726883
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,8,8,0.006672000139951706
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,16,64,0.004774399846792221
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,16,32,0.004252799972891808
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,8,2,0.006332799792289734
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,16,16,0.0038656000047922134
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,8,4,0.0071552000939846035
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,16,8,0.004239999875426293
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,8,1,0.005936000123620033
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,16,8,0.006825599819421768
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,16,2,0.004950400069355964
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,16,4,0.005846399813890457
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,16,64,0.011539199948310852
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,16,4,0.006527999788522721
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,16,128,0.01727039963006973
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,16,32,0.008604799956083297
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,16,1,0.005564799904823304
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,16,16,0.007648000121116638
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,32,128,0.006220800057053566
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,32,128,0.01936960071325302
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,32,64,0.005609599873423576
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,16,2,0.006239999830722809
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,32,8,0.005488000065088272
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,32,32,0.004668800160288811
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,16,1,0.006297600269317627
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,32,16,0.0045471999794244765
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,32,16,0.007884799689054488
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,32,8,0.007036799937486649
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,32,1,0.00398080013692379
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,32,4,0.004310400038957596
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,32,64,0.012432000041007996
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,32,2,0.0038975998759269714
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,32,4,0.007161600142717361
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,32,32,0.008966399729251862
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,32,1,0.006255999952554703
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,48,128,0.006876800209283829
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,48,128,0.02107519954442978
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,48,64,0.005615999922156334
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,float16,48,32,0.0047680001705884935
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,32,2,0.006815999746322632
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,48,32,0.009775999933481216
TRTLLM,1.2.0rc5,NVIDIA GH200,mla_gen_pre,default,fp8,48,64,0.012995199859142303
